Name,Sector,Years of Operation
99dresses,Retail Trade,3 (2010-2013)
Ahalife,Retail Trade,7 (2010-2017)
Airy Labs,Information,2 (2010-2012)
AllRomance,Retail Trade,10 (2006-2016)
Ampush,Professional Scientific and Technical Services,13 (2010-2023)
Anki,Manufacturing,9 (2010-2019)
Aria Insights,Manufacturing,11 (2008-2019)
Arivale,Health Care,4 (2015-2019)
Aryballe,Manufacturing,8 (2014-2022)
Ask Jeeves,Information,11 (1996-2007)
Atrium,Professional Scientific and Technical Services,4 (2017-2021)
Auctionata,Retail Trade,6 (2012-2018)
Augury Books,Retail Trade,5 (2012-2017)
Avant,Finance and Insurance,11 (2012-2023)
Babble,Information,11 (2006-2017)
Bebo,Information,14 (2005-2019)
Beepi,Retail Trade,4 (2013-2017)
BeRecruited,Information,12 (2007-2019)
Better Place,Manufacturing,7 (2007-2014)
Bina Technologies,Health Care,5 (2011-2016)
BioViva,Health Care,6 (2015-2021)
Bitpass,Finance and Insurance,6 (2002-2008)
BlackJet,Transportation and Warehousing,5 (2012-2017)
Block Party,Information,3 (2020-2023)
Bloom Energy,Manufacturing,10 (2001-2011)
Blurb,Manufacturing,15 (2005-2020)
Blync,Information,5 (2013-2018)
BountyJobs,Information,15 (2006-2021)
Boxed,Retail Trade,8 (2013-2021)
BranchOut,Information,7 (2010-2017)
Breather,Real Estate and Rental and Leasing,9 (2012-2021)
BrightFarms,Agriculture Forestry Fishing and Hunting,12 (2011-2023)
Brit + Co,Information,10 (2011-2021)
BufferBox,Transportation and Warehousing,4 (2011-2015)
Burbn,Information,2 (2010-2012)
Burstly,Information,6 (2008-2014)
Butterfly Health,Health Care,5 (2014-2019)
Cafe X,Accommodation and Food Services,6 (2015-2021)
Cake Financial,Finance and Insurance,5 (2006-2011)
Calxeda,Manufacturing,7 (2008-2015)
Canary,Manufacturing,8 (2012-2020)
Canvas,Information,6 (2011-2017)
Carwoo,Retail Trade,6 (2009-2015)
Catelyn,Retail Trade,3 (2015-2018)
Caviar,Accommodation and Food Services,8 (2012-2020)
Change.org,Information,15 (2007-2022)
Chef’d,Accommodation and Food Services,5 (2014-2019)
Chinictown,Retail Trade,4 (2013-2017)
Chirp,Information,5 (2011-2016)
ChowNow,Accommodation and Food Services,12 (2011-2023)
Circle,Finance and Insurance,10 (2013-2023)
Clarity Money,Finance and Insurance,6 (2016-2022)
ClassPass,Arts Entertainment and Recreation,10 (2013-2023)
Clever,Information,9 (2012-2021)
ClickFacts,Professional Scientific and Technical Services,6 (2005-2011)
Clinkle,Finance and Insurance,5 (2011-2016)
Cloudera,Information,15 (2008-2023)
CloudHammer,Information,5 (2007-2012)
Clover,Accommodation and Food Services,8 (2012-2020)
Club Penguin,Arts Entertainment and Recreation,12 (2005-2017)
Cocoon,Information,4 (2018-2022)
Codeacademy,Information,11 (2011-2022)
Coinbase NFT,Finance and Insurance,2 (2021-2023)
CollabFinder,Information,7 (2011-2018)
Color Labs,Information,3 (2011-2014)
Combatant Gentlemen,Retail Trade,8 (2012-2020)
Connect,Information,6 (2010-2016)
ContextLogic,Retail Trade,13 (2010-2023)
Coub,Information,9 (2012-2021)
Couchsurfing,Administrative and Support Services,16 (2004-2020)
Covo,Real Estate and Rental and Leasing,5 (2015-2020)
Crate,Retail Trade,4 (2014-2018)
Crunchyroll,Information,15 (2006-2021)
Curb Food,Accommodation and Food Services,4 (2019-2023)
Curse,Information,14 (2006-2020)
Cypress,Manufacturing,6 (2014-2020)
DailyBurn,Arts Entertainment and Recreation,12 (2007-2019)
Dailylook,Retail Trade,9 (2011-2020)
Datto,Information,15 (2007-2022)
Dealflicks,Arts Entertainment and Recreation,7 (2012-2019)
Deem,Information,14 (2000-2014)
Delight,Retail Trade,5 (2012-2017)
Delivery Hero,Accommodation and Food Services,12 (2011-2023)
Deskbeers,Accommodation and Food Services,5 (2014-2019)
Detour,Information,6 (2013-2019)
Digg,Information,14 (2004-2018)
Din,Retail Trade,3 (2013-2016)
Dinner Lab,Accommodation and Food Services,6 (2011-2017)
Disruptive Media,Information,5 (2012-2017)
Divshot,Information,5 (2011-2016)
Domo,Information,13 (2010-2023)
DoorDash Air,Transportation and Warehousing,3 (2020-2023)
Doppler Labs,Manufacturing,5 (2013-2018)
DormChat,Information,3 (2014-2017)
Dot & Bo,Retail Trade,5 (2013-2018)
Doximity,Health Care,12 (2010-2022)
Drawbridge,Professional Scientific and Technical Services,10 (2011-2021)
Drizly,Retail Trade,11 (2012-2023)
Dropbox Paper,Information,6 (2015-2021)
Drifty,Information,7 (2012-2019)
DroneBase,Professional Scientific and Technical Services,8 (2014-2022)
Drync,Retail Trade,7 (2012-2019)
Dundee Venture,Finance and Insurance,10 (2010-2020)
Dunwello,Information,5 (2013-2018)
E la Carte,Accommodation and Food Services,11 (2008-2019)
Earbits,Arts Entertainment and Recreation,8 (2010-2018)
Ecomom,Retail Trade,4 (2009-2013)
Eden,Administrative and Support Services,6 (2015-2021)
Edmodo,Information,13 (2008-2021)
EduKart,Information,7 (2011-2018)
Egomotion,Arts Entertainment and Recreation,5 (2012-2017)
Eko,Health Care,7 (2013-2020)
Elance,Administrative and Support Services,15 (1999-2014)
ElectricObjects,Retail Trade,6 (2014-2020)
Elevate Labs,Information,10 (2012-2022)
Ellipse,Manufacturing,5 (2015-2020)
Embrace,Health Care,8 (2012-2020)
Endomondo,Arts Entertainment and Recreation,12 (2007-2019)
Enigma,Information,9 (2011-2020)
Entrypoint,Information,4 (2016-2020)
Envoy,Administrative and Support Services,7 (2013-2020)
EpiBone,Health Care,8 (2013-2021)
Etsy Wholesale,Retail Trade,7 (2013-2020)
Eventbrite Britain,Arts Entertainment and Recreation,6 (2014-2020)
Everalbum,Information,6 (2013-2019)
Evernote,Information,15 (2004-2019)
Every.me,Information,3 (2012-2015)
Exec,Administrative and Support Services,3 (2012-2015)
EyeEm,Information,12 (2011-2023)
Fab.com,Retail Trade,7 (2011-2018)
Factual,Information,14 (2008-2022)
FameBit,Professional Scientific and Technical Services,6 (2013-2019)
Famo.us,Information,6 (2011-2017)
Fanduel Scotland,Arts Entertainment and Recreation,8 (2012-2020)
FanDuel Sportsbook,Arts Entertainment and Recreation,15 (2009-2024)
Fancy,Retail Trade,9 (2010-2019)
Fanhattan,Information,6 (2010-2016)
Fano,Information,4 (2013-2017)
Fashism,Retail Trade,5 (2009-2014)
Faze Medicines,Health Care,4 (2019-2023)
Feather,Real Estate and Rental and Leasing,6 (2017-2023)
Fieldbook,Information,5 (2014-2019)
Fieldlens,Construction,7 (2011-2018)
FiftyThree,Information,8 (2011-2019)
Fiksu,Professional Scientific and Technical Services,10 (2008-2018)
Filepicker,Information,6 (2012-2018)
Firebase,Information,7 (2011-2018)
Firefly,Transportation and Warehousing,5 (2014-2019)
First Opinion,Health Care,6 (2013-2019)
Fitbit Coach,Arts Entertainment and Recreation,6 (2015-2021)
Fitmob,Arts Entertainment and Recreation,4 (2013-2017)
Fiverr Gigs,Professional Scientific and Technical Services,11 (2010-2021)
Fixya,Information,14 (2005-2019)
Flashnotes,Information,6 (2010-2016)
Fleksy,Information,8 (2011-2019)
Flock,Information,5 (2012-2017)
Flocu,Information,3 (2015-2018)
Flowtab,Accommodation and Food Services,3 (2011-2014)
Fobo,Retail Trade,4 (2013-2017)
Foodler,Accommodation and Food Services,14 (2004-2018)
Formspring,Information,7 (2009-2016)
Foursquare Swarm,Information,7 (2014-2021)
Framed Data,Information,3 (2013-2016)
