Name,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway
Avant,2012-2023,Online personal loans,$655M,Lost to LendingClub and high defaults,Lending needs risk balance
Bitpass,2002-2008,Micropayments platform,$2M,Lost to PayPal and low adoption,Micropayments need mass use
Cake Financial,2006-2011,Portfolio tracking tool,$3M,Lost to Mint and sold to TradeKing,Finance tools need scale
Circle,2013-2023,Crypto payments and stablecoin,$500M,Lost to Coinbase and market shifts,Crypto needs stability
Clarity Money,2016-2022,Personal finance app,$11M,Lost to Mint/Acorns and sold to Goldman,Finance apps need edge
Clinkle,2011-2016,Mobile wallet,$30M,No product vs Apple Pay/PayPal,Execution over promises
Coinbase NFT,2021-2023,NFT marketplace,$0 (Coinbase-funded),Lost to OpenSea and NFT crash,NFTs need timing
FundersClub,2012-2022,Crowdfunding for startups,$20M,Lost to Kickstarter and low ROI,Crowdfunding needs hits
Fuze Network,2010-2016,Prepaid card payments,$5M,Lost to Green Dot and small scale,Prepaid needs reach
Indiegogo Life,2014-2019,Personal crowdfunding,$10M (est.),Lost to GoFundMe and niche focus,Personal funding needs appeal
Isentium,2012-2020,Social sentiment for trading,$15M,Lost to Bloomberg and low uptake,Trading tools need traction
LendUp,2012-2021,Loans for subprime borrowers,$350M,Regulatory fines and OppLoans competition,Fintech can’t skirt regs
LendingClub,2006-2021,P2P lending platform,$1B,Lost to banks and trust issues,P2P needs trust
LendLayer,2013-2017,Coding bootcamp loans,$0.4M,Lost to Affirm and sold,Small niches get swallowed
Loyal3,2008-2018,Commission-free brokerage,$30M,Lost to Robinhood and closed,Brokerages need volume
Money360,2012-2020,Real estate lending platform,$10M (est.),Lost to Fundrise and slow growth,Lending needs scale
Monitor110,2005-2008,Financial data aggregator,$3M (est.),Lost to Bloomberg and early market,Timing is key
Mozido,2008-2017,Mobile payments platform,$185M,Lost to Square and mismanagement,Payments need execution
Pawngo,2011-2017,Online pawn lending,$6M,Lost to traditional pawnshops and niche,Niche lending needs demand
Pay By Touch,2002-2007,Biometric payments,$300M (est.),Lost to PayPal and tech issues,Biometrics need reliability
Plum Will,2015-2020,Digital estate planning,$2M (est.),Lost to LegalZoom and low uptake,Estate tech needs traction
PoundPay,2009-2013,Payment gateway,$1M (est.),Lost to Stripe and sold,Payments need scale
ReadyForZero,2010-2017,Debt management app,$5M,Lost to Credit Karma and sold,Debt tools need edge
RushCard,2003-2018,Prepaid debit card,$20M (est.),Lost to Chime and trust issues,Prepaid needs trust
Seed,2012-2017,Small biz banking,$5M,Lost to Brex and closed,Banking needs scale
Sensible,2016-2020,Personal finance for gig workers,$4M (est.),Lost to Even and niche,Niche finance needs reach
SigFig,2007-2018,Robo-advisor,$70M,Lost to Wealthfront and sold,Robo-advisors need edge
Simple,2009-2016,Neobank with budgeting,$25M,Lost to Chime/Ally and shut post-BBVA sale,Neobanks need independence
SmartAsset,2012-2023,Financial planning tools,$161M,Lost to NerdWallet and slow growth,Planning needs traction
SoFi Social,2016-2021,Social finance platform,$0 (SoFi-funded),Lost to Robinhood and niche,Social finance needs scale
Square Cash,2013-2020,P2P payments (early),$0 (Square-funded),Lost to Venmo and pivoted,Payments need dominance
Taulia,2009-2022,Supply chain finance,$200M,Lost to Coupa and sold,Finance needs edge
Tilt,2012-2018,Social crowdfunding,$67M,Lost to GoFundMe and sold,Crowdfunding needs mass
Toshl,2008-2020,Personal finance app,$1M (est.),Lost to Mint and low scale,Finance apps need reach
TrustEgg,2012-2016,Crowdfunded trusts,$0.5M (est.),Lost to traditional trusts and niche,Niche needs demand
Upstart,2012-2023,AI-driven lending,$144M,Lost to banks and high defaults,Lending needs stability
Vemo,2015-2021,Income-share agreements,$20M (est.),Lost to Lambda School and regs,ISAs need traction
Venmo Groups,2015-2020,Group payments feature,$0 (Venmo-funded),Lost to Splitwise and niche,Niche payments need use
Vittana,2008-2015,Student microloans,$5M (est.),Lost to SoFi and low scale,Microloans need reach
Wealthfront Cash,2018-2023,High-yield savings,$0 (Wealthfront-funded),Lost to Ally and pivoted,Savings need edge
Wealthsimple Trade,2017-2023,Commission-free trading,$0 (Wealthsimple-funded),Lost to Robinhood and pivoted,Trading needs volume
Wepay,2008-2020,Payment processing,$75M,Lost to Stripe and sold,Payments need scale
Wesabe,2006-2011,Personal finance app,$4M,Lost to Mint and early market,Timing matters
Wise,2011-2023,International transfers,$689M,Lost to PayPal and high costs,Transfers need edge
YayPay,2015-2021,Accounts receivable automation,$15M,Lost to Bill.com and sold,Automation needs scale
Ycharts,2009-2021,Financial data platform,$15M,Lost to Bloomberg and sold,Data needs dominance
ZestFinance,2009-2020,AI underwriting loans,$112M,Lost to Upstart and regs,Lending needs compliance
