Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
Airy Labs,Information,2 (2010-2012),Educational mobile games for kids,$1.5M,Shut down in 2012 after chaotic sprint; too many games; no focus; cash ran out,Focus beats frenzy,1,1,0,0,0,0,0,0,1,0,0,0,0
Ask Jeeves,Information,11 (1996-2007),Early search engine with butler mascot,$20M,Faded by 2007; lost to Google's algorithm and ad model; sold off,Innovation isn't enough,1,0,0,0,0,0,0,0,0,0,0,0,0
Bebo,Information,14 (2005-2019),Social networking site popular in UK,$12.8M,Shut down in 2019; lost to Facebook; AOL mismanagement; sold cheap,Network effects can crush,1,0,0,0,0,0,0,0,1,0,0,0,0
Burbn,Information,2 (2010-2012),Check-in app with photo-sharing,$0.5M,Closed in 2012 but pivoted to Instagram; too cluttered; users didn't care,Pivots can save,0,0,0,1,0,0,0,0,0,0,0,0,0
Canvas,Information,6 (2011-2017),Collaborative document editing platform,$9M,Shut down in 2017; lost to Google Docs; Dropbox Paper; no differentiation,Stand out or drown,1,0,1,0,0,0,0,0,0,0,0,0,0
Change.org,Information,15 (2007-2022),Petition platform for activism,$50M,Startup phase "shut down" 2022; monetization alienated users; growth slowed,Mission drift costs,0,0,0,0,0,0,1,0,0,0,0,0,0
Chirp,Information,5 (2011-2016),App to share data via sound,$1.8M,Closed in 2016; niche; no real problem solved; adoption lagged,Cool doesn't equal useful,0,0,0,1,0,0,0,1,0,0,0,0,0
Cloudera,Information,15 (2008-2023),Big data analytics platform,$300M,Wound down 2023; lost to AWS; Google BigQuery; went private,Giants eat niches,1,0,1,0,0,0,0,0,0,0,0,0,0
Cocoon,Information,4 (2018-2022),Privacy-focused browser,$3M,Shut down 2022; lost to VPNs; Chrome; trust waned,Trust is currency,1,0,1,0,0,0,0,0,0,0,1,0,0
Codeacademy,Information,11 (2011-2022),Online coding lessons,$42.5M,Acquired 2021; "closed" 2022; free tiers didn't convert; lost to Coursera,Freemium's a gamble,0,0,1,0,1,0,1,0,0,0,0,0,0
CollabFinder,Information,7 (2011-2018),Matchmaking for project collaborators,$0.75M,Shut down 2018; too niche; lost to GitHub; LinkedIn,Networks need mass,1,1,1,0,0,0,0,1,0,0,0,0,0
Color Labs,Information,3 (2011-2014),Photo-sharing by location,$41M,Closed 2014; confused users; lost to Instagram; Apple absorbed,Hype can't save fit,1,0,1,1,1,0,0,0,0,0,0,0,1
Connect,Information,6 (2010-2016),Social networking via Facebook,$10M,Shut down 2016; lost to Facebook's own features; privacy issues,Don't bet on turf,1,0,0,0,0,1,0,0,0,0,1,0,0
Coub,Information,9 (2012-2021),Short looping video app,$1M,Closed 2021; couldn't monetize; lost to TikTok,Timing and scale brutal,1,0,1,0,0,0,1,0,0,1,0,0,0
Domo,Information,13 (2010-2023),Business intelligence dashboards,$690M,Scaled back 2023; lost to Tableau; Power BI; high costs,Big bets need wins,1,0,1,0,0,0,0,0,0,0,0,0,0
Digg,Information,14 (2004-2018),Social news aggregator,$45M,Faded 2018; redesign tanked; lost to Reddit; sold cheap,User loyalty fragile,0,0,1,0,0,0,0,0,1,0,0,0,0
Drifty,Information,7 (2012-2019),Ionic mobile app framework,$4.2M,Closed 2019; open-source didn't monetize; lost to React Native,Free doesn't pay,0,0,1,0,0,0,1,0,0,0,0,0,0
Dropbox Paper,Information,6 (2015-2021),Collaborative doc tool,$1.7B (Dropbox),Shut down 2021; lost to Google Docs; Notion,Stick to strengths,1,0,1,0,0,0,0,0,0,0,0,0,0
Evernote,Information,15 (2004-2019),Note-taking app,$290M,Declined 2019; bloated features; lost to OneNote,Simplicity beats bloat,1,0,1,0,1,0,0,0,1,0,0,0,0
Exec,Information,3 (2012-2015),On-demand personal assistants,$3.3M,Shut down 2015; thin margins; lost to TaskRabbit,Margins matter,0,1,1,0,0,0,0,0,0,0,0,0,0
EyeEm,Information,12 (2011-2023),Photo-sharing and stock platform,$24M,Shut down 2023; lost to Getty; Unsplash,Scale beats niche,1,0,1,0,0,0,0,0,0,0,0,0,0
Factual,Information,14 (2008-2022),Location data platform,$104M,Closed 2022; merged into Foursquare; lost to Google Maps,Data's only gold if sold,1,0,1,0,1,0,0,0,0,0,0,0,0
Formspring,Information,7 (2009-2016),Anonymous Q&A social app,$14M,Shut down 2016; bullying scared users; lost to Facebook,Toxicity's a sword,1,0,0,0,0,0,0,0,0,0,1,0,0
Foursquare Swarm,Information,7 (2014-2021),Check-in app with badges,$162M (Foursquare),Ended 2021; check-ins faded; lost to Instagram,Trends fade fast,1,0,1,0,0,0,0,0,0,1,0,0,0
Friendster,Information,12 (2002-2014),Early social network,$48.5M,Faded 2014; slow servers; lost to Facebook,Speed and UX trump,1,0,1,0,0,0,0,0,1,0,0,0,0
GeoCities,Information,11 (1994-2005),Web hosting for personal pages,$0 (Yahoo $3.6B),Shut down 2005; Yahoo neglect; lost to blogs,Adapt or atrophy,1,0,0,0,1,0,0,0,0,1,0,0,0
GetGlue,Information,8 (2008-2016),Social TV check-in app,$24M,Closed 2016; Twitter; streaming outpaced; sold off,Niche trends risky,1,0,1,0,1,0,0,0,0,1,0,0,0
Gigya,Information,12 (2006-2018),Social login identity tools,$104.6M,Ended 2018; SAP acquisition; lost to Google login,Regs and giants choke,1,0,0,0,1,0,0,0,0,0,0,1,0
Gimlet,Information,7 (2014-2021),Podcasting narrative shows,$28.5M,Sold to Spotify 2021; couldn't scale profitably,Content's costly,0,0,0,0,1,0,1,0,0,0,0,0,0
Gowalla,Information,5 (2007-2012),Location-based social app,$10.4M,Shut down 2012; lost to Foursquare; Facebook acquired,Winners take all,0,0,1,0,1,0,0,0,0,0,0,0,0
Grooveshark,Information,11 (2006-2017),Music streaming with uploads,$4.9M,Shut down 2017; lawsuits over piracy; lost to Spotify,Legality's key,1,0,1,0,0,0,0,0,0,0,0,1,0
GroupMe,Information,5 (2010-2015),Group messaging app,$11.5M,Acquired 2011; faded 2015; stagnated under Skype,Acquisition dead end,0,0,0,0,1,0,0,0,0,0,0,0,0
HootSuite Media,Information,15 (2008-2023),Social media management tool,$249.9M,Scaled back 2023; lost to Sprout Social; native tools,Cash can't outrun,1,0,1,0,0,0,0,0,0,0,0,0,0
Houseparty,Information,5 (2016-2021),Group video chat app,$70M,Shut down 2021; Epic acquired; lost to Zoom,Peaks don't last,1,0,1,0,1,0,0,0,0,1,0,0,0
